BSS00015	H3K4me2	FINAL_H3K4me2_BSS00015.sub_VS_FINAL_WCE_BSS00015.pval.signal.bedgraph.gz
BSS00015	H3K4me3	FINAL_H3K4me3_BSS00015.sub_VS_FINAL_WCE_BSS00015.pval.signal.bedgraph.gz
BSS00015	H3K79me2	FINAL_H3K79me2_BSS00015.sub_VS_FINAL_WCE_BSS00015.pval.signal.bedgraph.gz
BSS00015	H3K9me3	FINAL_H3K9me3_BSS00015.sub_VS_FINAL_WCE_BSS00015.pval.signal.bedgraph.gz
BSS00015	POLR2A	FINAL_POLR2A_BSS00015.sub_VS_FINAL_WCE_BSS00015.pval.signal.bedgraph.gz
BSS00015	RAD21	FINAL_RAD21_BSS00015.sub_VS_FINAL_WCE_BSS00015.pval.signal.bedgraph.gz
BSS00015	SMC3	FINAL_SMC3_BSS00015.sub_VS_FINAL_WCE_BSS00015.pval.signal.bedgraph.gz
BSS00016	CTCF	FINAL_CTCF_BSS00016.sub_VS_FINAL_WCE_BSS00016.pval.signal.bedgraph.gz
BSS00016	DNase-seq	FINAL_DNase-seq_BSS00016.sub_VS_Uniform_BKG_CONTROL_36_50000000.pval.signal.bedgraph.gz
BSS00016	EP300	FINAL_EP300_BSS00016.sub_VS_FINAL_WCE_BSS00016.pval.signal.bedgraph.gz
BSS00016	H3K27ac	FINAL_H3K27ac_BSS00016.sub_VS_FINAL_WCE_BSS00016.pval.signal.bedgraph.gz
BSS00016	H3K4me1	FINAL_H3K4me1_BSS00016.sub_VS_FINAL_WCE_BSS00016.pval.signal.bedgraph.gz
BSS00016	H3K4me2	FINAL_H3K4me2_BSS00016.sub_VS_FINAL_WCE_BSS00016.pval.signal.bedgraph.gz
BSS00016	H3K4me3	FINAL_H3K4me3_BSS00016.sub_VS_FINAL_WCE_BSS00016.pval.signal.bedgraph.gz
BSS00016	H3K9me3	FINAL_H3K9me3_BSS00016.sub_VS_FINAL_WCE_BSS00016.pval.signal.bedgraph.gz
BSS00016	RAD21	FINAL_RAD21_BSS00016.sub_VS_FINAL_WCE_BSS00016.pval.signal.bedgraph.gz
